Issuer,EMITTER_ID
ГРУППА ПОЗИТИВ,12604
VK IPJSC,11313
АВТО ФИНАНС БАНК,4033
ЯТЭК,3402
ГИДРОМАШСЕРВИС,1337
СЕЛЕКТЕЛ,11355
РОССЕЛЬХОЗБАНК,430
ГОСУДАРСТВЕННАЯ КОМПАНИЯ АВТОДОР,4708
ВЭБ.РФ,406
МИНФИН РОССИИ,1228
СЕЛИГДАР,4579
О`КЕЙ,12391
НОВОСИБИРСКАЯ ОБЛАСТЬ,6247
ДФФ,9601
ДЕЛОПОРТС,8402
СБЕРБАНК,484
ХК НОВОТРАНС,10692
РЖД,712
ГРУППА ЧЕРКИЗОВО,698
СТМ,11448
ПРОМОМЕД ДМ,11287
ГАЗПРОМ НЕФТЬ,1039
СОФТЛАЙН,9483
ЕВРАЗ НИЖНЕТАГИЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,4316
КАМАЗ,855
ГТЛК,5953
ХК МЕТАЛЛОИНВЕСТ,4779
АТОМЭНЕРГОПРОМ,4174
ПОЧТА РОССИИ,4497
СЭТЛ ГРУПП,1378
ЭТАЛОН-ФИНАНС,9164
МАГНИТ,886
ГМК НОРИЛЬСКИЙ НИКЕЛЬ,1399
РУСГИДРО,816
ДОМ.РФ,656
ЮГК,3588
МТС,1352
РОСТЕЛЕКОМ,1193
ВСК,8965
НОВАБЕВ ГРУПП,1179
РЕСПУБЛИКА БАШКОРТОСТАН,11284
БАЛТИЙСКИЙ ЛИЗИНГ,7010
РЕСПУБЛИКА САХА (ЯКУТИЯ),846
ПКТ,8415
БИННОФАРМ ГРУПП,11776
АЛЬФА-БАНК АО,465
СОВКОМФЛОТ,8806
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК,449
СОВКОМБАНК,784
КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5,1259
МЕГАФОН,1380
БАНК ГПБ,196
НИЖЕГОРОДСКАЯ ОБЛАСТЬ,642
ЭР-ТЕЛЕКОМ ХОЛДИНГ,8843
УЛЬЯНОВСКАЯ ОБЛАСТЬ,9632
НГК СЛАВНЕФТЬ,9587
ОМСКАЯ ОБЛАСТЬ,6220
REPUBLIC OF KAZAKHSTAN,11199
АФК СИСТЕМА,777
СИБУР ХОЛДИНГ,707
АКРОН,1013
ТМХ,1294
ГАЗПРОМ,4682
АК АЛРОСА,1670
ГРУППА ЛСР,778
СИБИРСКАЯ УГОЛЬНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,4381
ГРУППА КОМПАНИЙ МЕДСИ,13744
РОССЕТИ ЛЕНЭНЕРГО,1363
ФОСАГРО,4513
РОССЕТИ ЦЕНТР,2683
НОВАТЭК,1074
РОССЕТИ,710
НК РОСНЕФТЬ,651
РОСЭКСИМБАНК,536
ЭЙЧ ЭФ ДЖИ,14956
РОССЕТИ МОСКОВСКИЙ РЕГИОН,994
МОСОБЛЭНЕРГО,15095
УРАЛЬСКАЯ СТАЛЬ,14215
Eurasian Development Bank,3845
Г. САНКТ-ПЕТЕРБУРГ,1468
СОВКОМБАНК ЛИЗИНГ,9117
НИЖНЕКАМСКНЕФТЕХИМ,858
ТМК,752
ПИК-КОРПОРАЦИЯ,10577
БАНК ПСБ,323
МОСКОВСКАЯ ОБЛАСТЬ,9067
ИНТЕРЛИЗИНГ,11007
ГОРОД МОСКВА,1195
ПОЛЮС,1158
РОСАГРОЛИЗИНГ,4268
ТРАНСНЕФТЬ,1185
МАГАДАНСКАЯ ОБЛАСТЬ,9635
ФГУП РОСМОРПОРТ,10614
СБЕРБАНК КИБ,33
СВЕРДЛОВСКАЯ ОБЛАСТЬ,4737
ИНАРКТИКА,4326
СЗКК,4587
ЛУКОЙЛ,770
ОДК,6960
НЛМК,970
АЭРОФЛОТ,1242
СТАВРОПОЛЬСКИЙ КРАЙ,5938
ООО ПК Борец,13973
ФПК,6472
МФ ЯО,647
МОЭК,3653
ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,11263
ЛК ЕВРОПЛАН,9474
КРАСНОДАРСКИЙ КРАЙ,882
САМАРСКАЯ ОБЛАСТЬ,709
ЭН+ ГИДРО,13670
РЕСО-ЛИЗИНГ,5968
БАНК ВТБ,269
СЕВЕРСТАЛЬ,927
Липецкая область,971
UC RUSAL  IPJSC,7972
Министерство финансов Калининградской области,9298
ГК Самолет ПАО,9848
О`КЕЙ,4867
ДОМ.РФ,11490
ДОМ.РФ,9303
